officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
New Abadi Jagtial S.O,505327,S.O,Non-Delivery,Karimnagar,Hyderabad,Andhra Pradesh,Jagtial,Karim Nagar,TELANGANA,,,Jagtial H.O,,
Ramnagar S.O (Karim Nagar),505001,S.O,Non-Delivery,Karimnagar,Hyderabad,Andhra Pradesh,Karimnagar,Karim Nagar,TELANGANA,,,Karimnagar H.O,,
Gadwal H.O,509125,H.O,Delivery,Mahabubnagar,Hyderabad,Andhra Pradesh,Gadwal,Mahabub Nagar,TELANGANA,08546-274877,,,,
Hanumanpura S.O,509001,S.O,Non-Delivery,Mahabubnagar,Hyderabad,Andhra Pradesh,Mahbubnagar,Mahabub Nagar,TELANGANA,,,Mahabubnagar H.O,,
Mahabubnagar H.O,509001,H.O,Delivery,Mahabubnagar,Hyderabad,Andhra Pradesh,Mahabubnagar H.o,Mahabub Nagar,TELANGANA,08542-241205,,,,
Mbn Rs S.O,509001,S.O,Non-Delivery,Mahabubnagar,Hyderabad,Andhra Pradesh,Mahbubnagar,Mahabub Nagar,TELANGANA,,,Mahabubnagar H.O,,
Narayanpet Bazar S.O,509210,S.O,Non-Delivery,Mahabubnagar,Hyderabad,Andhra Pradesh,Narayanpet,Mahabub Nagar,TELANGANA,,,Mahabubnagar H.O,,
Osmangunj S.O,509001,S.O,Non-Delivery,Mahabubnagar,Hyderabad,Andhra Pradesh,Mahbubnagar,Mahabub Nagar,TELANGANA,,,Mahabubnagar H.O,,
Pathapalamur S.O,509001,S.O,Non-Delivery,Mahabubnagar,Hyderabad,Andhra Pradesh,Mahbubnagar,Mahabub Nagar,TELANGANA,,,Mahabubnagar H.O,,
T.D. Gutta S.O,509001,S.O,Non-Delivery,Mahabubnagar,Hyderabad,Andhra Pradesh,Mahbubnagar,Mahabub Nagar,TELANGANA,,,Mahabubnagar H.O,,
Veerannapet S.O,509001,S.O,Non-Delivery,Mahabubnagar,Hyderabad,Andhra Pradesh,Mahbubnagar,Mahabub Nagar,TELANGANA,,,Mahabubnagar H.O,,
Bharathnagar Town S.O,502103,S.O,Non-Delivery,Medak,Hyderabad,Andhra Pradesh,Siddipet,Medak,TELANGANA,,,Siddipet H.O,,
Medak Buss stand S.O,502110,S.O,Non-Delivery,Medak,Hyderabad,Andhra Pradesh,Medak,Medak,TELANGANA,,,Medak H.O,,
Medak H.O,502110,H.O,Delivery,Medak,Hyderabad,Andhra Pradesh,Medak,Medak,TELANGANA,08452-221597,,,,
Medak Town S.O,502110,S.O,Non-Delivery,Medak,Hyderabad,Andhra Pradesh,Medak,Medak,TELANGANA,,,Medak H.O,,
Nehru Road Town S.O,502103,S.O,Non-Delivery,Medak,Hyderabad,Andhra Pradesh,Siddipet,Medak,TELANGANA,,,Siddipet H.O,,
Prashanthnagar Town S.O,502103,S.O,Non-Delivery,Medak,Hyderabad,Andhra Pradesh,Siddipet,Medak,TELANGANA,,,Siddipet H.O,,
Siddipet Busstand S.O,502103,S.O,Non-Delivery,Medak,Hyderabad,Andhra Pradesh,Siddipet,Medak,TELANGANA,,,Siddipet H.O,,
Siddipet H.O,502103,H.O,Delivery,Medak,Hyderabad,Andhra Pradesh,Siddipet,Medak,TELANGANA,08457-223708,,,,
Bhongir H.O,508116,H.O,Delivery,Nalgonda,Hyderabad,Andhra Pradesh,Bhongiri,Nalgonda,TELANGANA,08685-242585,,,,
Bottuguda S.O,508001,S.O,Non-Delivery,Nalgonda,Hyderabad,Andhra Pradesh,Nalgonda,Nalgonda,TELANGANA,08682-231487,,Nalgonda H.O,,
Clock Tower S.O (Nalgonda),508001,S.O,Non-Delivery,Nalgonda,Hyderabad,Andhra Pradesh,Nalgonda,Nalgonda,TELANGANA,08682-220129,,Nalgonda H.O,,
Gandhinagar S.O (Nalgonda),508248,S.O,Non-Delivery,Nalgonda,Hyderabad,Andhra Pradesh,Nalgonda,Nalgonda,TELANGANA,08691-241957,,Nalgonda H.O,,
Manyamchelka S.O,508001,S.O,Non-Delivery,Nalgonda,Hyderabad,Andhra Pradesh,Nalgonda,Nalgonda,TELANGANA,08682-231482,,Nalgonda H.O,,
Nalgonda H.O,508001,H.O,Delivery,Nalgonda,Hyderabad,Andhra Pradesh,Nalgonda,Nalgonda,TELANGANA,08682-244204,,,,
Oldabadi S.O,508001,S.O,Non-Delivery,Nalgonda,Hyderabad,Andhra Pradesh,Nalgonda,Nalgonda,TELANGANA,,,Nalgonda H.O,,
Powerhouse Hostel S.O,508202,S.O,Non-Delivery,Nalgonda,Hyderabad,Andhra Pradesh,Nalgonda,Nalgonda,TELANGANA,08680-277483,,Nalgonda H.O,,
Armoor H.O,503224,H.O,Delivery,Nizamabad,Hyderabad,Andhra Pradesh,Nizamabad,Nizamabad,TELANGANA,08463-222338,,,,
Bhimgal Busstand S.O,503307,S.O,Non-Delivery,Nizamabad,Hyderabad,Andhra Pradesh,Bheemgal,Nizamabad,TELANGANA,,,Armoor H.O,,
Gajulpet S.O,503001,S.O,Non-Delivery,Nizamabad,Hyderabad,Andhra Pradesh,Nizamabad,Nizamabad,TELANGANA,,,Nizamabad H.O,,
Gandhi Gunj S.O,503001,S.O,Non-Delivery,Nizamabad,Hyderabad,Andhra Pradesh,Nizamabad,Nizamabad,TELANGANA,,,Nizamabad H.O,,
Gurbabadi S.O,503002,S.O,Non-Delivery,Nizamabad,Hyderabad,Andhra Pradesh,Nizamabad,Nizamabad,TELANGANA,,,Nizamabad H.O,,
Jawahar Road S.O,503001,S.O,Non-Delivery,Nizamabad,Hyderabad,Andhra Pradesh,Nizamabad,Nizamabad,TELANGANA,,,Nizamabad H.O,,
Kakatiyanagar Colony S.O,503111,S.O,Non-Delivery,Nizamabad,Hyderabad,Andhra Pradesh,Kamareddy,Nizamabad,TELANGANA,,,Kamareddy H.O,,
Kamareddy H.O,503111,H.O,Delivery,Nizamabad,Hyderabad,Andhra Pradesh,Nizamabad,Nizamabad,TELANGANA,08468-223322,,,,
Kanteshwar S.O,503002,S.O,Non-Delivery,Nizamabad,Hyderabad,Andhra Pradesh,Nizamabad,Nizamabad,TELANGANA,,,Nizamabad H.O,,
Kotagalli S.O,503001,S.O,Non-Delivery,Nizamabad,Hyderabad,Andhra Pradesh,Nizamabad,Nizamabad,TELANGANA,,,Nizamabad H.O,,
Mjp Nagar S.O,503003,S.O,Non-Delivery,Nizamabad,Hyderabad,Andhra Pradesh,Nizamabad,Nizamabad,TELANGANA,,,Nizamabad H.O,,
Nizamabad H.O,503001,H.O,Delivery,Nizamabad,Hyderabad,Andhra Pradesh,Nizamabad,Nizamabad,TELANGANA,08462-220038,,,,
Phullong S.O,503001,S.O,Non-Delivery,Nizamabad,Hyderabad,Andhra Pradesh,Nizamabad,Nizamabad,TELANGANA,,,Nizamabad H.O,,
Rakasipet S.O,503185,S.O,Non-Delivery,Nizamabad,Hyderabad,Andhra Pradesh,Bodhan,Nizamabad,TELANGANA,,,Nizamabad H.O,,
Shivajinagar S.O (Nizamabad),503001,S.O,Non-Delivery,Nizamabad,Hyderabad,Andhra Pradesh,Nizamabad,Nizamabad,TELANGANA,,,Nizamabad H.O,,
Yellammagutta S.O,503003,S.O,Non-Delivery,Nizamabad,Hyderabad,Andhra Pradesh,Nizamabad,Nizamabad,TELANGANA,,,Nizamabad H.O,,
A.P.Colony S.O (Karim Nagar),505215,S.O,Non-Delivery,Peddapalli,Hyderabad,Andhra Pradesh,Ramagundam,Karim Nagar,TELANGANA,,,Peddapalli H.O,,
Huzurabad H.O,505468,H.O,Delivery,Peddapalli,Hyderabad,Andhra Pradesh,Huzurabad,Karim Nagar,TELANGANA,08727-252030,,,,
Peddapalli H.O,505172,H.O,Delivery,Peddapalli,Hyderabad,Andhra Pradesh,Peddapalli,Karim Nagar,TELANGANA,0878-222093,,,,
Peddapalli RS S.O,505172,S.O,Non-Delivery,Peddapalli,Hyderabad,Andhra Pradesh,Peddapalle,Karim Nagar,TELANGANA,,,Peddapalli H.O,,
Scab S.O,505209,S.O,Non-Delivery,Peddapalli,Hyderabad,Andhra Pradesh,Ramagundam,Karim Nagar,TELANGANA,,,Peddapalli H.O,,
A.I.E. R.C.puram S.O,502032,S.O,Non-Delivery,Sangareddy,Hyderabad,Andhra Pradesh,Ramachandrapuram,Medak,TELANGANA,,,Sangareddy H.O,,
Admn. Bldgs S.O,502032,S.O,Non-Delivery,Sangareddy,Hyderabad,Andhra Pradesh,Ramachandrapuram,Medak,TELANGANA,040-23024180,,Sangareddy H.O,,
Bharatinagar S.O,502032,S.O,Non-Delivery,Sangareddy,Hyderabad,Andhra Pradesh,Ramachandrapuram,Medak,TELANGANA,,,Sangareddy H.O,,
Mig Colony S.O,502032,S.O,Non-Delivery,Sangareddy,Hyderabad,Andhra Pradesh,Ramachandrapuram,Medak,TELANGANA,,,Sangareddy H.O,,
Patancheru Ie S.O,502319,S.O,Non-Delivery,Sangareddy,Hyderabad,Andhra Pradesh,Patancheru,Medak,TELANGANA,,,Sangareddy H.O,,
Patancheru Ph.II S.O,502319,S.O,Non-Delivery,Sangareddy,Hyderabad,Andhra Pradesh,Patancheru,Medak,TELANGANA,,,Sangareddy H.O,,
Rajampet Colony S.O,502001,S.O,Non-Delivery,Sangareddy,Hyderabad,Andhra Pradesh,Sangareddy,Medak,TELANGANA,,,Sangareddy H.O,,
Ramachanrapuram Village S.O,502032,S.O,Non-Delivery,Sangareddy,Hyderabad,Andhra Pradesh,Ramachandrapuram,Medak,TELANGANA,,,Sangareddy H.O,,
Sangareddy B/s Complex S.O,502001,S.O,Non-Delivery,Sangareddy,Hyderabad,Andhra Pradesh,Sangareddy,Medak,TELANGANA,,,Sangareddy H.O,,
Sangareddy Collectorate S.O,502001,S.O,Non-Delivery,Sangareddy,Hyderabad,Andhra Pradesh,Sangareddy,Medak,TELANGANA,08455-279200,,Sangareddy H.O,,
Sangareddy H.O,502001,H.O,Delivery,Sangareddy,Hyderabad,Andhra Pradesh,Sangareddy,Medak,TELANGANA,08455-276444,,,,
Zaheerabad H.O,502220,H.O,Delivery,Sangareddy,Hyderabad,Andhra Pradesh,Zaheerabad,Medak,TELANGANA,08451-282210,,,,
Bank Street S.O (Nalgonda),508213,S.O,Non-Delivery,Suryapet,Hyderabad,Andhra Pradesh,Suryapet,Nalgonda,TELANGANA,,,Suryapet H.O,,
I.E.Suryapet S.O,508213,S.O,Non-Delivery,Suryapet,Hyderabad,Andhra Pradesh,Suryapet,Nalgonda,TELANGANA,,,Suryapet H.O,,
K.K.Road S.O,508213,S.O,Non-Delivery,Suryapet,Hyderabad,Andhra Pradesh,Suryapet,Nalgonda,TELANGANA,,,Suryapet H.O,,
Miryalguda H.O,508207,H.O,Delivery,Suryapet,Hyderabad,Andhra Pradesh,Miryalguda,Nalgonda,TELANGANA,08689-242833,,,,
Suryapet H.O,508213,H.O,Delivery,Suryapet,Hyderabad,Andhra Pradesh,Suryapet,Nalgonda,TELANGANA,08684-220037,,,,
Gandhichowk S.O (Mahabub Nagar),509103,S.O,Non-Delivery,Wanaparthy,Hyderabad,Andhra Pradesh,Wanaparthy,Mahabub Nagar,TELANGANA,08545-232030,,Wanaparthy H.O,,
Stn. Jadcherla H.O,509301,H.O,Delivery,Wanaparthy,Hyderabad,Andhra Pradesh,Stn. Jadcherla,Mahabub Nagar,TELANGANA,08542-232518,,,,
Wanaparthy H.O,509103,H.O,Delivery,Wanaparthy,Hyderabad,Andhra Pradesh,Wanaparthy,Mahabub Nagar,TELANGANA,08545-232007,,,,
Beat Bazar S.O,506002,S.O,Non-Delivery,Warangal,Hyderabad,Andhra Pradesh,Warangal,Warangal,TELANGANA,,,Warangal H.O,,
Grainmarket S.O,506002,S.O,Non-Delivery,Warangal,Hyderabad,Andhra Pradesh,Warangal,Warangal,TELANGANA,,,Warangal H.O,,
Karimabad S.O,506002,S.O,Non-Delivery,Warangal,Hyderabad,Andhra Pradesh,Warangal,Warangal,TELANGANA,,,Warangal H.O,,
Kasibugga S.O (Warangal),506002,S.O,Non-Delivery,Warangal,Hyderabad,Andhra Pradesh,Warangal,Warangal,TELANGANA,,,Warangal H.O,,
M.G.M Hospital S.O,506007,S.O,Non-Delivery,Warangal,Hyderabad,Andhra Pradesh,Warangal,Warangal,TELANGANA,,,Warangal H.O,,
Mahabubabad H.O,506101,H.O,Delivery,Warangal,Hyderabad,Andhra Pradesh,Mahabubabad,Warangal,TELANGANA,08719-240070,,,,
Mahathma Gandhi Road S.O,506002,S.O,Non-Delivery,Warangal,Hyderabad,Andhra Pradesh,Warangal,Warangal,TELANGANA,0870-2420681,,Warangal H.O,,
Mandi Bazar S.O,506002,S.O,Non-Delivery,Warangal,Hyderabad,Andhra Pradesh,Warangal,Warangal,TELANGANA,0870-2425702,,Warangal H.O,,
Matwada S.O,506002,S.O,Non-Delivery,Warangal,Hyderabad,Andhra Pradesh,Warangal,Warangal,TELANGANA,,,Warangal H.O,,
Railway Gate S.O,506002,S.O,Non-Delivery,Warangal,Hyderabad,Andhra Pradesh,Warangal,Warangal,TELANGANA,,,Warangal H.O,,
Svn Road S.O,506002,S.O,Non-Delivery,Warangal,Hyderabad,Andhra Pradesh,Warangal,Warangal,TELANGANA,,,Warangal H.O,,
Warangal H.O,506002,H.O,Delivery,Warangal,Hyderabad,Andhra Pradesh,Warangal,Warangal,TELANGANA,0870-2422701,,,,
A.Gs Office S.O,500004,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Khairatabad,Hyderabad,TELANGANA,040-23428311,,Hyderabad G.P.O. ,,
A.Gs. Staff Quarters S.O,500045,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Khairatabad,Hyderabad,TELANGANA,040-23428373,,Khairatabad H.O,,
Anandnagar S.O (Hyderabad),500004,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Khairatabad,Hyderabad,TELANGANA,040-23428326,,Khairatabad H.O,,
AP Police Academy PO,500091,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Rajendra Nagar,Hyderabad,TELANGANA,,,Hyderabad G.P.O. ,,
Bazarghat S.O (Hyderabad),500004,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Khairatabad,Hyderabad,TELANGANA,040-23428314,,Khairatabad H.O,,
Bharat Nagar Colony S.O,500018,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Balanagar,K.V.Rangareddy,TELANGANA,040-23463377,,Khairatabad H.O,,
Bhaskar Nagar S.O,500075,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,,Hyderabad,TELANGANA,,,Hyderabad G.P.O. ,,
Dr.B R Ambedkar O.U  S.O,500033,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Shaikpet,Hyderabad,TELANGANA,,,Khairatabad H.O,,
Erragadda S.O,500018,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Ameerpet,Hyderabad,TELANGANA,040-23428368,,Khairatabad H.O,,
Fathenagar Colony S.O,500018,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Balanagar,K.V.Rangareddy,TELANGANA,040-23463694,,Khairatabad H.O,,
Gachibowli S.O,500032,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Seri Lingampally,K.V.Rangareddy,TELANGANA,040-23463959,,Hyderabad G.P.O. ,,
Gagan Mahal S.O,500029,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Himayathnagar,Hyderabad,TELANGANA,040-23428318,,Hyderabad G.P.O. ,,
Gandhi Bhawan S.O (Hyderabad),500001,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Nampally,Hyderabad,TELANGANA,040-23463511,,Hyderabad G.P.O. ,,
I.M.Colony S.O,500082,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Khairatabad,Hyderabad,TELANGANA,040-23428310,,Khairatabad H.O,,
Kakatiya Nagar S.O,500008,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Golconda,Hyderabad,TELANGANA,040-23428321,,Khairatabad H.O,,
Khairatabad H.O,500004,H.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Khairatabad,Hyderabad,TELANGANA,040-23428322,,,,
Kulsumpura S.O,500006,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Asifnagar,Hyderabad,TELANGANA,040-24826385,,Hyderabad G.P.O. ,,
Lunger House S.O,500008,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Golconda,Hyderabad,TELANGANA,040-23428340,,Hyderabad G.P.O. ,,
Mangalhat S.O,500006,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Asifnagar,Hyderabad,TELANGANA,,,Hyderabad G.P.O. ,,
Moazzampura S.O,500001,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Nampally,Hyderabad,TELANGANA,040-23428371,,Hyderabad G.P.O. ,,
Murad Nagar S.O (Hyderabad),500028,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Asifnagar,Hyderabad,TELANGANA,040-23428341,,Khairatabad H.O,,
Narayanguda S.O,500029,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Himayathnagar,Hyderabad,TELANGANA,040-23428342,,Hyderabad G.P.O. ,,
New Mla Quarters S.O,500063,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Himayathnagar,Hyderabad,TELANGANA,040-23428372,,Hyderabad G.P.O. ,,
Parishram Bhawan S.O,500004,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Himayathnagar,Hyderabad,TELANGANA,040-23428328,,Hyderabad G.P.O. ,,
Ramakrishna Mutt S.O,500029,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Himayathnagar,Hyderabad,TELANGANA,040-23463532,,Hyderabad G.P.O. ,,
Sakkubai Nagar S.O,500008,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Golconda,Hyderabad,TELANGANA,040-23463526,,Hyderabad G.P.O. ,,
Sanath Nagar Colony S.O,500018,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Ameerpet,Hyderabad,TELANGANA,040-23428379,,Khairatabad H.O,,
Seetharampet S.O,500001,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Nampally,Hyderabad,TELANGANA,040-23463695,,Hyderabad G.P.O. ,,
Shantinagar S.O (Hyderabad),500028,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Asifnagar,Hyderabad,TELANGANA,040-23428334,,Khairatabad H.O,,
State Bank Of Hyderabad S.O,500001,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Nampally,Hyderabad,TELANGANA,040-23428365,,Hyderabad G.P.O. ,,
State Bank Of India S.O,500095,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Nampally,Hyderabad,TELANGANA,040-23463966,,Hyderabad G.P.O. ,,
Swarajyanagar S.O,500018,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Balanagar,K.V.Rangareddy,TELANGANA,040-23428361,,Khairatabad H.O,,
Toli Chowki S.O,500008,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Golconda,Hyderabad,TELANGANA,040-23428369,,Hyderabad G.P.O. ,,
Vengal Rao Nagar S.O,500038,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Khairatabad,Hyderabad,TELANGANA,040-23428363,,Khairatabad H.O,,
Vidhan Sabha S.O (Hyderabad),500004,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Nampally,Hyderabad,TELANGANA,040-23428336,,Hyderabad G.P.O. ,,
Vivekananda Nagar Colony S.O,500018,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Balanagar,Hyderabad,TELANGANA,,,Khairatabad H.O,,
Hyderabad G.P.O. ,500001,H.O,Delivery,Hyderabad GPO,Hyderabad City,Andhra Pradesh,Hyderabad,Hyderabad,TELANGANA,040-23463515,,,,
A.G.College S.O,500030,S.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Rajendranagar,K.V.Rangareddy,TELANGANA,040-24012031,,Hyderabad Jubilee H.O,,
Andhra Mahila Sabha S.O,500044,S.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Musheerabad,Hyderabad,TELANGANA,040-23463817,,Stn Kachiguda H.O,,
Barkatpura S.O,500027,S.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Himayathnagar,Hyderabad,TELANGANA,040-23463825,,Stn Kachiguda H.O,,
Chaithanyapuri Colony S.O,500060,S.O,Non-Delivery,Hyderabad South East,Hyderabad City,Andhra Pradesh,Saroornagar,K.V.Rangareddy,TELANGANA,040-23463692,,Stn Kachiguda H.O,,
